cell_name,colleague_label,colleague_retention,colleague_max_cycle,status,exclusion_reason,last_fade_cycle,final_retention,n_regular,truncation_cycle,label_n300,trainable_n300,category,cohort
AR4277,good,0.945185,387,in_testing,,,0.9159800972434932,554,,pass,true,agree_pass,AR
AR4278,good,0.942919,384,in_testing,,,0.9344500067884622,551,,pass,true,agree_pass,AR
AR4284,good,0.940795,364,in_testing,,,0.9045419344720116,531,,pass,true,agree_pass,AR
AR4289,good,0.928726,323,in_testing,,,0.8640301404779117,484,,pass,true,agree_pass,AR
AR4307,good,0.937997,341,in_testing,,,0.9203647038206544,506,,pass,true,agree_pass,AR
AR4310,good,0.94305,344,in_testing,,,0.886894151727937,614,,pass,true,agree_pass,AR
AR4315,good,0.947573,335,in_testing,,,0.915839220370094,500,,pass,true,agree_pass,AR
R1350,good,0.939827,1087,faded,,1052,0.8193064041754724,1271,,pass,true,agree_pass,other
AR3775,good,0.851401,369,faded,,295,0.7995697482047186,370,,bad,true,disagree_we_bad_they_pass,AR
AR4162,good,0.861133,320,faded,,276,0.8486649089463202,276,276,bad,true,disagree_we_bad_they_pass,AR
AR4229,good,0.862761,387,faded,,256,0.7999471964779301,388,,bad,true,disagree_we_bad_they_pass,AR
AR4313,good,1.148203,482,faded,,265,0.8008082238413148,265,265,bad,true,disagree_we_bad_they_pass,AR
AR4144,bad,0.836021,522,faded,,395,0.7999488072041457,585,,pass,true,disagree_we_pass_they_bad,AR
AR4146,bad,0.83655,517,faded,,417,0.8250749067784869,518,,pass,true,disagree_we_pass_they_bad,AR
0MC2-251111-006,bad,0.778873,19,in_testing,,,0.9817632221718443,10,,censor,false,ours_censor,0MC2
0MC2-251112-010,bad,0.831986,19,in_testing,,,0.9800521765358325,10,,censor,false,ours_censor,0MC2
0MC2-251118-003,bad,0.764745,19,in_testing,,,0.9840596287811771,10,,censor,false,ours_censor,0MC2
0MC2-251125-005,bad,0.830741,20,in_testing,,,0.9801886689122806,10,,censor,false,ours_censor,0MC2
0MC2-251125-012,bad,0.812024,19,in_testing,,,0.9782309627995833,10,,censor,false,ours_censor,0MC2
AR4084,good,0.874696,517,in_testing,,,0.8702671776085058,291,291,censor,false,ours_censor,AR
AR4143,bad,0.825125,518,in_testing,,,0.8891709590904744,276,276,censor,false,ours_censor,AR
AR4145,bad,0.818923,523,in_testing,,,0.8823375050738587,279,279,censor,false,ours_censor,AR
AR4147,bad,0.834198,523,in_testing,,,0.8975066843828742,280,280,censor,false,ours_censor,AR
AR4148,bad,0.832055,524,in_testing,,,0.8841264535771535,280,280,censor,false,ours_censor,AR
AR3858,good,0.850862,449,excluded,low_initial_capacity,,,0,,excluded,false,ours_excluded,AR
AR4023,bad,0.795041,176,excluded,low_initial_capacity,,,0,,excluded,false,ours_excluded,AR
AR4115,bad,0.821021,64,excluded,low_initial_capacity,,,0,,excluded,false,ours_excluded,AR
AR4123,bad,0.844679,43,excluded,low_initial_capacity,,,0,,excluded,false,ours_excluded,AR
AR4142,bad,0.827877,522,excluded,rate_changed,,,639,,excluded,false,ours_excluded,AR
AR4166,bad,0.84527,23,excluded,low_initial_capacity,,,0,,excluded,false,ours_excluded,AR
AR4201,good,1.044334,457,excluded,rate_changed,,,646,,excluded,false,ours_excluded,AR
AR4356,bad,0.807187,157,excluded,low_initial_capacity,,,0,,excluded,false,ours_excluded,AR
AR4357,bad,0.819883,248,excluded,low_initial_capacity,,,0,,excluded,false,ours_excluded,AR
AR4384,bad,0.810798,244,excluded,low_initial_capacity,,,0,,excluded,false,ours_excluded,AR
AR4388,bad,0.815578,40,excluded,low_initial_capacity,,,0,,excluded,false,ours_excluded,AR
AR4389,bad,0.822743,119,excluded,human_review,,,0,,excluded,false,ours_excluded,AR
